City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
106,Carutapera,BR,2022-07-04 17:59:34,-1.195,-46.02,81.23,78,11,9.98
107,Leon,MX,2022-07-04 17:59:35,21.1167,-101.6667,81.82,34,59,6.67
108,Mporokoso,ZM,2022-07-04 17:59:35,-9.3727,30.125,60.12,45,0,6.26
109,Vao,NC,2022-07-04 17:59:35,-22.6667,167.4833,72.88,75,96,19.13
110,Nanortalik,GL,2022-07-04 17:59:35,60.1432,-45.2371,47.57,89,100,11.83
111,Ajaccio,FR,2022-07-04 17:59:36,42.0,8.9167,78.85,42,0,6.91
112,Sri Aman,MY,2022-07-04 17:59:36,1.2376,111.4621,75.25,100,100,0.0
113,Gazojak,TM,2022-07-04 17:59:36,41.1875,61.4036,78.24,28,0,12.41
114,Burgeo,CA,2022-07-04 17:59:36,47.6167,-57.6152,61.18,70,44,24.25
115,Tura,IN,2022-07-04 17:59:37,25.5198,90.2201,76.8,84,62,3.38
116,Te Anau,NZ,2022-07-04 17:59:37,-45.4167,167.7167,46.76,84,82,6.69
117,Ciudad Bolivar,VE,2022-07-04 17:59:37,8.1222,-63.5497,90.77,47,44,6.11
118,Methuen,US,2022-07-04 17:56:54,42.7262,-71.1909,86.05,39,6,1.99
119,Lucapa,AO,2022-07-04 17:59:37,-8.4192,20.7447,71.89,21,0,2.33
120,Vyborg,RU,2022-07-04 17:59:38,60.7076,28.7528,78.13,68,6,4.79
121,Husavik,IS,2022-07-04 17:59:38,66.0449,-17.3389,44.33,86,91,14.88
122,Luwuk,ID,2022-07-04 17:59:38,-0.9516,122.7875,76.69,88,66,5.14
123,Guerrero Negro,MX,2022-07-04 17:59:38,27.9769,-114.0611,71.85,61,3,17.6
124,Narsaq,GL,2022-07-04 17:59:39,60.9167,-46.05,47.39,98,100,5.55
125,Itapirapua,BR,2022-07-04 17:59:39,-15.8233,-50.6133,91.35,15,4,7.92
126,Andenes,NO,2022-07-04 17:59:39,69.3143,16.1194,58.93,88,20,13.8
127,Qaanaaq,GL,2022-07-04 18:00:40,77.484,-69.3632,42.57,72,18,0.09
128,Tongling,CN,2022-07-04 18:00:40,30.95,117.7833,79.23,92,100,4.29
129,Tshela,CD,2022-07-04 18:00:41,-4.9833,12.9333,74.01,69,0,5.53
130,Kahului,US,2022-07-04 17:57:27,20.8947,-156.47,77.97,88,97,11.99
